"Area";"Age";"Population 2017"
"Finland";"15 - 24";623807
"Finland";"25 - 34";706594
"Finland";"35 - 44";683312
"Finland";"45 - 54";697645
"Finland";"55 - 64";732030
"Finland";"65 - 74";677518
"Finland";"75 - 89";501800
