"Area";"Age";"Population 2017"
"Helsinki";"15 - 24";73062
"Helsinki";"25 - 34";123078
"Helsinki";"35 - 44";94609
"Helsinki";"45 - 54";79701
"Helsinki";"55 - 64";72711
"Helsinki";"65 - 74";63132
"Helsinki";"75 -";45236
