"Area";"Age";"Population 2017"
"Tampere";"15 - 24";33713
"Tampere";"25 - 34";42395
"Tampere";"35 - 44";29126
"Tampere";"45 - 54";25414
"Tampere";"55 - 64";25760
"Tampere";"65 - 74";24451
"Tampere";"75 -";19173
