"Area";"Age";"Population 2017"
"Kajaani";"15 - 24";4606
"Kajaani";"25 - 34";4754
"Kajaani";"35 - 44";3967
"Kajaani";"45 - 54";4266
"Kajaani";"55 - 64";5492
"Kajaani";"65 - 74";4600
"Kajaani";"75 -";3563
